               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.021331,            0.012174,           0.0044203,             0.99262,             0.99832,               0.995,             0.87218,            0.010048,           0.0024551,           0.0010059,            0.002476,            0.002476,            0.002476
                 116,            0.025534,            0.011811,           0.0062842,             0.99292,             0.99866,               0.995,             0.86535,           0.0099615,           0.0024855,          0.00096579,             0.00241,             0.00241,             0.00241
                 117,            0.022767,             0.01143,           0.0079952,             0.99287,             0.99984,               0.995,             0.86462,           0.0092271,           0.0024686,          0.00098751,            0.002344,            0.002344,            0.002344
                 118,            0.023481,            0.011355,            0.004525,              0.9938,             0.99901,               0.995,             0.85221,            0.012634,           0.0025689,           0.0009818,            0.002278,            0.002278,            0.002278
                 119,            0.023583,            0.012108,           0.0051068,             0.99163,                   1,               0.995,             0.86246,            0.011082,           0.0024706,           0.0010964,            0.002212,            0.002212,            0.002212
                 120,            0.022566,            0.010988,           0.0044431,             0.99349,                   1,               0.995,             0.86893,           0.0091207,           0.0024395,           0.0010265,            0.002146,            0.002146,            0.002146
                 121,            0.021461,            0.011542,           0.0033876,               0.995,                   1,               0.995,             0.88265,           0.0085384,           0.0024377,          0.00094887,             0.00208,             0.00208,             0.00208
                 122,            0.023211,             0.01071,           0.0049554,             0.99525,                   1,               0.995,             0.87603,           0.0084006,           0.0024918,          0.00094076,            0.002014,            0.002014,            0.002014
                 123,            0.023262,            0.011356,           0.0067838,             0.99598,                   1,               0.995,             0.85641,           0.0090092,           0.0026016,          0.00088757,            0.001948,            0.001948,            0.001948
                 124,            0.022319,            0.012365,           0.0067017,             0.99592,                   1,               0.995,             0.85972,           0.0090089,           0.0026436,          0.00087437,            0.001882,            0.001882,            0.001882
                 125,            0.023909,            0.011184,           0.0039675,             0.99571,                   1,               0.995,             0.87521,           0.0087746,           0.0026105,          0.00084761,            0.001816,            0.001816,            0.001816
                 126,            0.021491,            0.010846,           0.0035634,              0.9957,                   1,               0.995,             0.85289,            0.010265,           0.0025638,          0.00083532,             0.00175,             0.00175,             0.00175
                 127,            0.023452,            0.011987,           0.0044729,             0.99586,                   1,               0.995,             0.87524,           0.0083607,           0.0024217,          0.00080026,            0.001684,            0.001684,            0.001684
                 128,            0.021328,            0.011251,           0.0058504,             0.99578,                   1,               0.995,             0.86207,           0.0091258,           0.0023944,          0.00078978,            0.001618,            0.001618,            0.001618
                 129,            0.022694,            0.011976,           0.0063723,             0.99633,                   1,               0.995,             0.87254,            0.008743,           0.0023896,          0.00078792,            0.001552,            0.001552,            0.001552
                 130,            0.021466,            0.011138,           0.0064703,             0.99607,                   1,               0.995,             0.88786,           0.0084703,           0.0023668,          0.00077485,            0.001486,            0.001486,            0.001486
                 131,            0.021219,            0.011585,            0.003152,             0.99579,                   1,               0.995,             0.88604,           0.0078726,           0.0023202,          0.00074581,             0.00142,             0.00142,             0.00142
                 132,            0.021858,            0.010782,           0.0052817,              0.9956,                   1,               0.995,              0.8847,            0.008273,           0.0023504,          0.00073667,            0.001354,            0.001354,            0.001354
                 133,            0.021628,            0.010664,           0.0041152,             0.99556,                   1,               0.995,              0.8859,           0.0085762,           0.0023795,          0.00072617,            0.001288,            0.001288,            0.001288
                 134,             0.02085,            0.011133,           0.0031739,             0.99549,                   1,               0.995,             0.88872,           0.0078846,           0.0023594,          0.00071972,            0.001222,            0.001222,            0.001222
                 135,            0.019766,            0.011886,           0.0031618,             0.99564,                   1,               0.995,             0.89546,           0.0077725,           0.0023526,          0.00069967,            0.001156,            0.001156,            0.001156
                 136,            0.020671,            0.011355,           0.0031795,             0.99566,                   1,               0.995,             0.88063,            0.008091,           0.0023699,          0.00069223,             0.00109,             0.00109,             0.00109
                 137,            0.022486,            0.010496,           0.0051544,             0.99556,                   1,               0.995,              0.8902,           0.0076171,           0.0023449,          0.00068555,            0.001024,            0.001024,            0.001024
                 138,            0.018341,            0.010188,           0.0037452,              0.9956,                   1,               0.995,             0.89407,           0.0073363,           0.0023266,          0.00068284,            0.000958,            0.000958,            0.000958
                 139,            0.020303,            0.009187,           0.0047352,             0.99547,                   1,               0.995,             0.88865,           0.0077914,           0.0023199,          0.00067886,            0.000892,            0.000892,            0.000892
                 140,            0.019678,            0.011039,           0.0050611,             0.99563,                   1,               0.995,             0.89472,           0.0075889,           0.0023125,          0.00067506,            0.000826,            0.000826,            0.000826
                 141,            0.018125,            0.010545,           0.0029592,             0.99553,                   1,               0.995,             0.87771,           0.0075646,           0.0023093,           0.0006706,             0.00076,             0.00076,             0.00076
                 142,            0.019732,            0.012283,           0.0060673,             0.99535,                   1,               0.995,             0.88939,           0.0074059,           0.0022951,          0.00067163,            0.000694,            0.000694,            0.000694
                 143,            0.020072,             0.01132,           0.0034491,             0.99512,                   1,               0.995,             0.88756,            0.007139,           0.0022782,           0.0006774,            0.000628,            0.000628,            0.000628
                 144,            0.019328,             0.01145,           0.0036462,             0.99522,                   1,               0.995,             0.89258,           0.0075817,           0.0022875,          0.00067394,            0.000562,            0.000562,            0.000562
                 145,             0.01719,            0.010431,           0.0041056,              0.9956,                   1,               0.995,             0.89563,           0.0069797,           0.0022652,          0.00065458,            0.000496,            0.000496,            0.000496
                 146,            0.021076,            0.010514,           0.0039124,             0.99556,                   1,               0.995,              0.8936,           0.0070277,           0.0022598,          0.00064882,             0.00043,             0.00043,             0.00043
                 147,            0.018362,            0.011393,           0.0054648,             0.99548,                   1,               0.995,             0.90324,            0.006997,           0.0022573,          0.00064523,            0.000364,            0.000364,            0.000364
                 148,            0.017494,           0.0087786,           0.0033383,             0.99537,                   1,               0.995,             0.91502,           0.0067891,           0.0022494,          0.00064318,            0.000298,            0.000298,            0.000298
                 149,             0.02105,            0.011445,           0.0044414,             0.99525,                   1,               0.995,             0.91184,           0.0067917,           0.0022428,          0.00063449,            0.000232,            0.000232,            0.000232
